typ,nachname,vorname,firma,adresse,plz,stadt,email,telefon,favorit
LIEFERANT,Schneider,Max,BuildPro,Neubauweg 33,74598,Düsseldorf,max.schneider@example.com,+49 354631094,true
KUNDE,Fischer,Mia,EcoSystems,Lindenweg 14,67109,Berlin,mia.fischer@example.com,+49 876057243,false
UNBEKANNT,Meyer,Mia,EduWorld,Kiefernweg 4,40923,Berlin,mia.meyer@example.com,+49 390009142,false
KUNDE,Weber,Laura,FinSecure,Waldstr. 13,47773,Berlin,laura.weber@example.com,+49 399498634,true
UNBEKANNT,Wagner,Max,FinSecure,Rosenweg 6,71361,Hamburg,max.wagner@example.com,+49 417037838,true
UNBEKANNT,Becker,Laura,BuildPro,Lindenweg 14,34332,Dortmund,laura.becker@example.com,+49 763597150,true
LIEFERANT,Schmidt,Lena,TransLog,Tulpenweg 5,43635,Stuttgart,lena.schmidt@example.com,+49 436748894,false
LIEFERANT,Schmidt,Paul,MediCorp,Schlossallee 18,40511,Berlin,paul.schmidt@example.com,+49 633275705,false
UNBEKANNT,Müller,Anna,TransLog,Neubauweg 33,52839,Berlin,anna.müller@example.com,+49 679413053,true
UNBEKANNT,Fischer,Paul,BuildPro,Waldstr. 13,50620,Hamburg,paul.fischer@example.com,+49 691342671,false
LIEFERANT,Wagner,Lukas,BuildPro,Waldstr. 13,52241,Frankfurt,lukas.wagner@example.com,+49 757947470,true
LIEFERANT,Müller,Finn,AlphaTech,Waldstr. 13,49934,Frankfurt,finn.müller@example.com,+49 953664362,false
LIEFERANT,Koch,Max,EcoSystems,Rosenweg 6,21266,Hamburg,max.koch@example.com,+49 928076428,true
KUNDE,Fischer,Max,AlphaTech,Eichenweg10,37739,Stuttgart,max.fischer@example.com,+49 913295014,false
LIEFERANT,Schneider,Paul,MediCorp,Am Markt 21,68598,Frankfurt,paul.schneider@example.com,+49 349470019,false
UNBEKANNT,Fischer,Lukas,FinSecure,Wiesenweg 2,92318,München,lukas.fischer@example.com,+49 305454263,true
UNBEKANNT,Müller,Max,MediCorp,Goethestr. 8,55005,Hamburg,max.müller@example.com,+49 572903980,true
KUNDE,Schmidt,Paul,AlphaTech,Hauptstr. 12,75303,Dortmund,paul.schmidt@example.com,+49 899865163,false
LIEFERANT,Schmidt,Paul,TransLog,Ringstr. 29,44895,Frankfurt,paul.schmidt@example.com,+49 941036084,true
UNBEKANNT,Becker,Laura,FinSecure,Bergweg 12,49840,Dortmund,laura.becker@example.com,+49 764588173,false
KUNDE,Koch,Mia,FinSecure,,48100,Leipzig,mia.koch@example.com,+49 302238532,true
UNBEKANNT,Fischer,Lena,AlphaTech,Postweg 10,43194,München,lena.fischer@example.com,+49 890506404,true
KUNDE,Schmidt,Paul,TransLog,Berliner Allee 22,91127,Stuttgart,paul.schmidt@example.com,+49 303234773,false
LIEFERANT,Müller,Anna,AlphaTech,Lindenstr. 17,71436,Berlin,anna.müller@example.com,+49 934976751,true
KUNDE,Schmidt,Anna,AlphaTech,Dorfstr. 1,89658,Frankfurt,anna.schmidt@example.com,+49 988500176,true
UNBEKANNT,Schneider,Ben,EcoSystems,Postweg 10,67130,Stuttgart,ben.schneider@example.com,+49 993171043,true
LIEFERANT,Hoffmann,Laura,AlphaTech,Kiefernweg 4,37945,München,laura.hoffmann@example.com,+49 442693223,false
LIEFERANT,Hoffmann,Anna,Foodies,Dorfstr. 2,38174,Köln,anna.hoffmann@example.com,+49 741445090,false
KUNDE,Weber,Lea,FinSecure,Tulpenweg 5,90177,Stuttgart,lea.weber@example.com,+49 939316870,true
UNBEKANNT,Becker,Anna,AlphaTech,Am Hang 7,79312,Hamburg,anna.becker@example.com,+49 956531770,true
UNBEKANNT,Wagner,Finn,TransLog,Postweg 10,75137,Hamburg,finn.wagner@example.com,+49 707180130,true
